,Descrip,Energy_kcal,Protein_g,Saturated_fats_g,Fat_g,Carb_g,Fiber_g,Sugar_g,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Copper_mcg,Manganese_mg,Selenium_mcg,VitC_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,VitB6_mg,Folate_mcg,VitB12_mcg,VitA_mcg,VitE_mg,VitD2_mcg
298,vanilla extract,288.0,0.06,0.01,0.06,12.65,0.0,12.65,11.0,0.12,12.0,6.0,148.0,9.0,0.11,0.072,0.23,0.0,0.0,0.011,0.095,0.425,0.026,0.0,0.0,0.0,0.0,0.0
299,vanilla extract imitn alcohol,237.0,0.05,0.0,0.0,2.41,0.0,0.0,0.0,0.13,5.0,22.0,98.0,4.0,0.06,0.023,0.482,0.0,0.0,0.008,0.071,0.318,0.019,0.0,0.0,0.0,0.0,0.0
300,vanilla extract imitn no alcohol,56.0,0.03,0.0,0.0,14.4,0.0,14.4,3.0,0.05,1.0,0.0,0.0,3.0,0.01,0.003,0.001,0.0,0.0,0.003,0.0289999999999999,0.129,0.008,0.0,0.0,0.0,0.0,0.0
301,vinegar distilled,18.0,0.0,0.0,0.0,0.04,0.0,0.04,6.0,0.03,1.0,4.0,2.0,2.0,0.01,0.006,0.055,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,vinegar red wine,19.0,0.04,0.0,0.0,0.27,0.0,0.0,6.0,0.45,4.0,8.0,39.0,8.0,0.03,0.01,0.046,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,vinegar balsamic,88.0,0.49,0.0,0.0,17.03,0.0,14.95,27.0,0.72,12.0,19.0,112.0,23.0,0.08,0.026,0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,babyfood juc treats fruit medley todd,347.0,0.0,0.0,0.02,86.68,0.0,57.4,12.0,0.24,7.0,9.0,54.0,89.0,0.03,0.037,0.062,1.9,8.0,0.015,0.01,0.057,0.0139999999999999,1.0,0.0,0.0,0.01,0.0
324,babyfood meat chick str,130.0,13.7,2.03,7.9,0.1,0.0,0.0,64.0,1.4,13.0,97.0,141.0,49.0,1.21,0.045,0.0,11.0,1.7,0.0139999999999999,0.152,3.255,0.2,3.0,0.4,6.0,0.25,0.3
325,babyfood meat chick jr,146.0,14.0,2.47,9.6,0.0,0.0,0.0,55.0,0.99,11.0,90.0,122.0,49.0,1.01,0.045,0.0,10.3,1.5,0.0139999999999999,0.163,3.42,0.188,11.0,0.4,11.0,0.4,0.0
327,babyfood meat turkey str,111.0,11.5,1.641,6.2,1.4,0.0,0.0,41.0,0.7,12.0,117.0,135.0,49.0,1.77,0.148,0.037,12.0,2.2,0.008,0.163,2.61,0.0289999999999999,8.0,1.11,0.0,0.08,0.8
328,babyfood meat turkey jr,111.0,11.5,1.641,6.2,1.4,0.0,0.0,41.0,0.7,12.0,117.0,135.0,49.0,1.77,0.148,0.037,12.0,0.0,0.008,0.163,2.61,0.0289999999999999,8.0,1.11,0.0,0.08,0.8
332,babyfood gerber 2nd foods appl carrot  squash organic,64.0,1.1,0.0,0.0,14.82,1.2,9.09,6.0,0.15,5.0,17.0,106.0,20.0,0.22,0.033,0.039,0.8,2732.0,0.02,0.036,0.255,0.057,2.0,0.0,21.0,0.07,0.0
334,babyfood h2o btld gerber wo added fluoride,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,babyfood gerber 3rd foods appl mango  kiwi,53.0,0.47,0.0,0.0,12.88,2.0,10.18,9.0,0.17,6.0,11.0,123.0,2.0,0.06,0.061,0.089,0.3,23.3,0.018,0.018,0.25,0.059,14.0,0.0,15.0,0.41,0.0
336,babyfood tropical fruit medley,51.0,0.31,0.0,0.14,12.22,1.3,9.78,0.0,0.0,5.0,11.0,141.0,0.0,0.05,0.035,0.039,0.0,15.9,0.019,0.027,0.138,0.039,2.0,0.0,4.0,0.1,0.0
337,babyfood dinner vegdumplingsbf str,48.0,2.0,0.0,0.9,7.7,0.0,0.0,14.0,0.39,6.0,28.0,46.0,49.0,0.4,0.0289999999999999,0.0,2.1,0.8,0.049,0.04,0.574,0.047,7.0,0.09,21.0,0.24,0.0
338,babyfood dinner vegdumplingsbf jr,48.0,2.1,0.0,0.8,8.0,0.0,0.0,14.0,0.47,7.0,29.0,47.0,52.0,0.33,0.03,0.0,2.1,0.8,0.039,0.036,0.49,0.048,7.0,0.09,33.0,0.0,0.0
339,babyfood dinner bf lasagna todd,77.0,4.2,0.0,2.1,10.0,0.0,0.0,18.0,0.87,11.0,40.0,122.0,41.0,0.7,0.0969999999999999,0.0,8.4,1.9,0.072,0.089,1.3530000000000002,0.071,6.0,0.51,58.0,0.0,0.0
340,babyfood dinner macaronitomatobf str,61.0,2.36,0.486,1.47,9.45,1.2,2.09,17.0,0.46,12.0,39.0,112.0,38.0,0.54,0.05,0.13,8.4,0.3,0.038,0.043,0.715,0.0559999999999999,5.0,0.15,44.0,2.62,0.0
341,babyfood dinner macaronitomatobf jr,59.0,2.5,0.411,1.1,9.4,1.1,2.43,14.0,0.36,7.0,44.0,72.0,35.0,0.36,0.039,0.0,8.4,1.5,0.048,0.055,0.7509999999999999,0.047,7.0,0.24,35.0,0.81,0.0
343,babyfood dinner bf noodle str,63.0,2.44,0.937,2.26,8.18,1.3,1.42,10.0,0.41,10.0,38.0,87.0,15.0,0.6,0.05,0.12,3.6,0.1,0.035,0.035,0.616,0.036,4.0,0.19,36.0,0.31,0.0
344,babyfood macaronichs todd,82.0,3.5,1.53,2.6,11.2,0.5,0.79,102.0,0.6,9.0,81.0,18.0,112.0,0.43,0.0409999999999999,0.0,6.6,0.0,0.04,0.09,0.79,0.05,3.0,0.06,19.0,0.03,0.0
345,babyfood dinner bfrice todd,82.0,5.0,0.0,2.9,8.8,0.0,0.0,11.0,0.69,8.0,35.0,120.0,32.0,0.92,0.054,0.0,8.4,3.9,0.016,0.069,1.3430000000000002,0.139,6.0,0.51,25.0,0.0,0.0
346,babyfood dinner spaghettitomatomeat jr,68.0,2.57,0.5429999999999999,1.37,11.42,1.1,2.72,15.0,0.53,11.0,35.0,122.0,30.0,0.53,0.03,0.12,8.4,0.2,0.048,0.068,0.967,0.064,3.0,0.03,63.0,0.07,0.0
348,babyfood dinner bf stew todd,51.0,5.1,0.58,1.2,5.5,1.1,1.39,9.0,0.72,11.0,44.0,142.0,106.0,0.87,0.072,0.0,4.5,3.0,0.0139999999999999,0.065,1.3130000000000002,0.074,6.0,0.51,82.0,0.5,0.0
349,babyfood dinner vegbf str,77.0,2.21,0.87,3.6,8.84,1.3,2.34,17.0,0.35,10.0,33.0,145.0,31.0,0.38,0.03,0.18,2.2,0.2,0.008,0.048,0.789,0.063,3.0,0.18,246.0,0.49,0.0
350,babyfood dinner vegbf jr,77.0,2.21,1.367,3.6,8.84,1.3,2.34,17.0,0.35,10.0,33.0,145.0,31.0,0.38,0.03,0.106,2.2,0.2,0.008,0.048,0.789,0.063,3.0,0.33,246.0,0.49,0.0
351,babyfood dinner bf wveg,96.0,2.03,2.84,6.93,6.36,1.8,2.16,19.0,0.33,15.0,24.0,127.0,38.0,0.35,0.036,0.006,2.2,0.0,0.03,0.06,0.7,0.083,11.0,0.09,222.0,0.57,0.0
352,babyfood dinner vegbacon str,69.0,1.92,1.063,2.95,8.81,1.7,1.77,14.0,0.3,10.0,28.0,116.0,49.0,0.3,0.04,0.14,1.7,0.3,0.032,0.039,0.474,0.0579999999999999,3.0,0.06,114.0,0.51,0.0
353,babyfood dinner vegham str,59.0,2.19,0.764,2.14,7.8,1.6,1.37,16.0,0.41,12.0,33.0,141.0,16.0,0.32,0.07,0.14,2.4,1.6,0.035,0.054,0.6759999999999999,0.072,3.0,0.06,144.0,0.31,0.1
354,babyfood dinner vegham jr,60.0,2.02,0.483,1.89,8.64,1.0,0.99,14.0,0.24,8.0,33.0,97.0,45.0,0.3,0.03,0.07,2.4,1.1,0.032,0.04,0.512,0.046,8.0,0.03,144.0,0.31,0.0
355,babyfood dinner veglamb str,52.0,2.0,0.828,2.0,6.9,1.1,0.94,12.0,0.35,7.0,49.0,94.0,20.0,0.22,0.0289999999999999,0.0,2.4,1.2,0.018,0.034,0.529,0.046,4.0,0.16,100.0,0.24,0.0
356,babyfood dinner veglamb jr,51.0,2.1,0.696,1.7,7.1,1.1,0.94,13.0,0.34,7.0,49.0,95.0,13.0,0.22,0.0289999999999999,0.0,2.4,1.7,0.021,0.032,0.5539999999999999,0.044,4.0,0.16,138.0,0.24,0.0
357,babyfood dinner chick noodle str,66.0,2.69,0.595,2.06,9.08,2.1,2.5,27.0,0.64,14.0,46.0,139.0,38.0,0.55,0.07,0.16,3.7,0.1,0.044,0.061,0.723,0.064,8.0,0.02,110.0,0.21,0.1
358,babyfood dinner chick noodle jr,55.0,2.37,0.3379999999999999,1.18,8.79,0.9,1.07,21.0,0.38,7.0,79.0,39.0,35.0,0.4,0.03,0.1,3.7,0.1,0.032,0.04,0.703,0.052,5.0,0.01,87.0,0.15,0.0
359,babyfood dinner chick soup str,50.0,1.6,0.278,1.7,7.2,1.1,1.72,37.0,0.27,5.0,24.0,66.0,16.0,0.22,0.2789999999999999,0.0,1.4,1.0,0.017,0.032,0.293,0.037,5.0,0.12,69.0,0.51,0.1
360,babyfood  dinner  chick stew  todd,78.0,5.2,1.1,3.7,6.4,0.6,1.68,36.0,0.66,10.0,51.0,92.0,25.0,0.41,0.02,0.0,5.5,1.9,0.031,0.074,1.153,0.046,1.0,0.14,52.0,0.22,0.2
362,babyfood dinner veg noodleschick str,63.0,2.0,0.0,2.5,7.9,1.1,0.0,28.0,0.35,10.0,31.0,55.0,20.0,0.25,0.054,0.0,3.2,0.7,0.032,0.049,0.407,0.021,3.0,0.08,71.0,0.0,0.0
363,babyfood dinner veg noodleschick jr,64.0,1.7,0.0,2.2,9.1,1.1,0.0,26.0,0.49,11.0,33.0,59.0,26.0,0.32,0.0579999999999999,0.0,3.2,0.8,0.042,0.037,0.675,0.023,3.0,0.09,53.0,0.0,0.0
364,babyfood dinner pasta wveg,60.0,1.7,1.23,2.1,8.4,1.5,1.2,14.0,0.5,24.0,50.0,133.0,11.0,0.4,0.11,0.39,6.4,2.9,0.06,0.05,0.56,0.11,9.0,0.0,41.0,0.23,0.0
365,babyfood dinner vegnoodlesturkey str,44.0,1.2,0.0,1.2,6.8,1.1,0.0,32.0,0.19,8.0,25.0,63.0,21.0,0.27,0.022,0.0,2.8,0.8,0.018,0.044,0.25,0.016,2.0,0.1,50.0,0.0,0.0
366,babyfood dinner vegnoodlesturkey jr,52.0,1.8,0.0,1.5,7.6,1.1,0.0,32.0,0.26,9.0,29.0,73.0,17.0,0.3,0.026,0.0,2.8,0.8,0.024,0.04,0.299,0.018,3.0,0.12,50.0,0.0,0.0
367,babyfood dinner turkeyrice str,52.0,2.27,0.3379999999999999,1.24,7.94,0.9,1.66,18.0,0.29,8.0,34.0,91.0,19.0,0.4,0.03,0.13,3.0,0.2,0.022,0.04,0.648,0.052,4.0,0.02,81.0,0.14,0.0
368,babyfood dinner turkey  rice jr,56.0,2.37,0.239,0.92,9.57,1.0,1.25,24.0,0.41,9.0,37.0,86.0,23.0,0.47,0.03,0.12,3.3,0.3,0.033,0.044,0.6920000000000001,0.052,8.0,0.02,94.0,0.31,0.0
369,babyfood dinner vegturkey str,48.0,2.32,0.236,0.9,7.62,1.5,1.54,27.0,0.37,13.0,44.0,102.0,20.0,0.7,0.09,0.14,1.9,0.7,0.02,0.024,0.466,0.044,10.0,0.02,220.0,0.3,0.0
370,babyfood dinner vegturkey jr,53.0,1.72,0.485,1.74,7.55,0.9,1.36,16.0,0.36,9.0,32.0,98.0,45.0,0.3,0.02,0.06,1.9,0.4,0.022,0.032,0.539,0.052,7.0,0.01,216.0,0.31,0.0
371,babyfood dinner macaronichs str,67.0,3.14,1.291,2.11,8.95,0.7,1.27,66.0,0.21,8.0,86.0,67.0,119.0,0.4,0.02,0.09,3.8,0.1,0.038,0.076,0.516,0.036,5.0,0.27,15.0,0.02,0.0
373,babyfood veg grn bns str,27.0,1.2,0.039,0.17,6.29,2.2,1.88,39.0,0.67,20.0,41.0,146.0,7.0,0.22,0.03,0.265,0.1,0.3,0.026,0.079,0.361,0.038,24.0,0.0,18.0,0.07,0.0
374,babyfood veg grn bns jr,24.0,1.2,0.023,0.1,5.8,1.9,1.08,65.0,1.08,22.0,19.0,128.0,5.0,0.19,0.049,0.0,0.3,8.4,0.021,0.102,0.321,0.035,33.0,0.0,24.0,0.32,0.0
375,babyfood grn bns dices todd,29.0,1.2,0.044,0.2,5.7,1.3,1.06,27.0,0.4,19.0,22.0,116.0,37.0,0.1,0.03,0.08,0.4,1.7,0.02,0.04,0.23,0.03,32.0,0.0,24.0,0.31,0.0
376,babyfood veg grn bnspotatoes,62.0,2.2,1.117,1.9,9.0,1.4,2.35,60.0,0.5,20.0,61.0,148.0,18.0,0.3,0.04,0.28,0.7,1.1,0.04,0.11,0.46,0.08,10.0,0.15,14.0,0.08,0.0
384,babyfood potatoes toddler,52.0,1.0,0.015,0.1,11.73,0.9,0.91,4.0,0.2,15.0,23.0,110.0,57.0,0.17,0.07,0.07,0.8,10.5,0.02,0.01,0.35,0.07,6.0,0.0,0.0,0.02,0.0
386,babyfood appls dices todd,51.0,0.2,0.02,0.1,12.1,0.9,10.83,10.0,0.2,6.0,13.0,50.0,6.0,0.04,0.02,0.04,0.3,31.3,0.01,0.02,0.08,0.05,1.0,0.0,2.0,0.23,0.0
387,babyfood fruit applsauc str,41.0,0.2,0.032,0.2,10.8,1.7,9.87,4.0,0.22,3.0,7.0,71.0,0.0,0.02,0.038,0.0,0.3,38.3,0.012,0.0279999999999999,0.061,0.031,2.0,0.0,1.0,0.6,0.0
